company,description,country,city,found_date,size_min,size_max
Nacita,"Is a leading Agency in the trading and servicing of automotive products and in providing logistics services in the Egyptian market.

NACITA was founded in 1944 and later incorporated in 1986, offering more than 68 years of experience in trading across a range of sectors and products.

Nacita Sectors ""Automotive, AutoCare, AutoStop, Logistics. ",Egypt,Cairo,2020-01-01,,
Delta Egypt For Lighting,"Delta Egypt is a leading company in the field of lighting in the Egyptian market Since 1989.
Delta Egypt covers the full range of lighting from indoor to outdoor, technical, architectural, decorative, landscape, facade lighting, street light, underwater, etc…
Our full range is supplied in hotels, shopping malls, hospitals, schools, universities, offices, conference halls, sports club, technical buildings, private villas, etc…
Delta scope also covers Emergency central battery system,lig ... See More",Egypt,Cairo,1944-01-01,,
Alshaya Group,,Egypt,Cairo,1984-01-01,,
Rose Rayhaan by Rotana,,Kuwait,Kuwait City,,,
Centro Capital - Doha,,United Arab Emirates,Dubai,,,
Al Marwa Rayhaan by Rotana,,Qatar,Doha,,,
Xische & Co,,Saudi Arabia,Riyadh,,,
Yanbu Aramco Sinopec Refining Company (YASREF),,United Arab Emirates,Dubai,,,
Professional Recruitment,,Saudi Arabia,Yanbu,,,
Bydotpy,"Software house specialized in fintech, a medium startup company that has published multiple large-scale products globally. The company vision now is following a dedicated developed plan for implementing Fintech products for the company's own interests. ",Saudi Arabia,Riyadh,,,
Cashcall,"Cashcall’s story began in 2018 when it was inaugurated as Cashcall Incorporated, The Egyptian Company for Electronic Payments. It was established by a group of investors with extensive experience in mobile and fixed telecom operations, distribution and logistics who jointly embarked on building a nationwide electronic payment network to provide financial and payment services to consumers and businesses in Egypt.

Our vision To create a new dimension for Money.

Cashcall's mission Unloc ... See More",Egypt,Cairo,2020-01-01,,
Lumin,"Lumin is one of the fast growing system integrator serving the Egyptian market. Based on deep understanding of the requirements of the Middle East, we were established in 2002 with system integration oriented structure. 
We are experts in delivering physical and logical security solutions. Lumin is developing & delivering exceptional integrated IT solutions. Besides, Lumin is also specialized in secure ID, card personalization systems & smart card integrated solutions. Last, but not le ... See More",Egypt,Cairo,2018-01-01,,
SSC Egypt,"SSC Egypt is a recruitment and outsourcing company that supports businesses in their recruitment needs.

Serving over 80 companies worldwide prominently featured on the Fortune 500. With more than 5000 successful hires, including 1000 outsourced employees; SSC proactively seeks, nurtures, and cultivates talent within the corporate realm. Our outsourcing services include but are not limited to: payroll, social insurance, labor law consultation, medical insurance, recruitment services an ... See More",Egypt,Giza,2002-01-01,,
ENOVA Facilities Management,"Enova is the regional leader in integrated energy and multi-technical services, delivering comprehensive services to its clients. It provides performance-based Energy & Facilities Management solutions that help customers achieve their financial, operational, and environmental targets. With over 5,000 highly trained and multi-skilled employees, Enova serves a wide portfolio of clients in the public, residential, commercial, industrial and healthcare sectors across the region.

Enova was ... See More",Egypt,Cairo,2018-01-01,,
Callvita,"Technical Experience
We are well-versed in a variety of operating systems, networks, and databases. We work with just about any technology that a small business would encounter. We use this expertise to help customers with small to mid-sized projects. ",Egypt,Cairo,2002-01-01,1000,
New Energy EV,"Automotive, ",Egypt,Cairo,2019-01-01,,
Tawzef,"Tawzef is an HR Consultation and Recruitment Agency, with extensive experience providing its clients with topnotch HR Services. We have always committed ourselves to provide the best quality HR services, along with a superior customer service experience for our partners. This has encouraged our partners, locally and internationally, to depend on us to provide them with our different set of services, whether it is overseas recruitment or local recruitment, executive search, corporate tr ... See More",Egypt,,2014-01-01,,
Bevatel,تسعي بيفاتيل دائما الي ابتكار وتنفيذ التقنيات الحديثة في مجال اللإتصالات والمعلومات لتطوير المؤسسات والشركات التي نخدمها. ,Egypt,Cairo,2007-01-01,,
Airpoint,,Egypt,Giza,,,
Fixed Solutions,"Fixed Solutions is a fast growing company with the mission of delivering high quality, reliable, cost-effective and secure IT solutions to SMB (Small-Medium Business), Banking and Government agencies. ",Egypt,Cairo,,,
RDI,"RDI is established in 1993 with the aim of Realizing leadership and innovation in the CIT world through an economically successful corporation, that provides outstanding products & services seeking for the development of the society.

RDI is specialized in the field of Arabic language Techniques (TTS, ASR, Speak Correct, OCR, Automatic short Answer grading, Hafss, Plagiarism Detection Tool, LR's, Search engine), as well as its applications in the field of education and Arabic content. ",Egypt,Cairo,2007-01-01,,
Travolic.LLc,"Travolic is the first free flight search website in the Middle East and Africa that brings you flights prices from various airlines and online travel agencies all in one trusted place.

We help you search, find and compare cheap flights. Once you choose your best travel deal, with one click, we connect you to the airline or travel agency you have chosen for instant booking.

We are not a travel agency and we do not sell flight tickets or accept any payments. We are completely free with ... See More",Egypt,Giza,1993-01-01,,
BeConnected,"BeConnected by the magic of marketing, and the
Science of technology. BeConnected is an IT services and
marketing agency founded in 2010 as a Joint-Stock
company with one clear mission, help brands connect
with their customers and clients. We offer our clients a
hefty portfolio of service to match their requirements.
From web solutions all the way to digital marketing. We
understand the importance of listening to our clients in
addition to market research as an integral part of our
inn ... See More",Egypt,Cairo,2017-01-01,,
Fluor Corporation,,Egypt,Giza,2010-01-01,,
MegaSoft,"MegaSoft is a regional IT Business Service Management Consulting and Training Firm. We are the trusted advisor to world’s leading businesses, governments, and institutions. We help leaders make distinctive, lasting, and substantial improvements to the performance of their IT organizations. We tackle their most difficult issues and serious challenges. We provide our people an outstanding place to work, with opportunities for growth that they can find nowhere else.

We have unparalleled  ... See More",Saudi Arabia,Riyadh,,,
Poverty Action Lab,,Egypt,Cairo,1998-01-01,,
Zurich International Life,,Egypt,Cairo,,,
DHS Arabia,,United Arab Emirates,Dubai,,,
Rotana Corporate Office,,Saudi Arabia,Riyadh,,,
Qudrah Fitness,,United Arab Emirates,Abu Dhabi,,,
SABA,"SABA is a premium system integrator in the domain of information technology. The company has been founded in 2002. We give a high level of solutions, services and products to our customers through our well trained staff. We can be considered as a solution provider for many of IP-based technologies. ",United Arab Emirates,Sharjah,,,
Sarmady,"Sarmady is a Full-Fledged Digital Media House that was established in 2001 and acquired by Vodafone Egypt in 2008, with the mission of making “infinite digital innovations”. 
Today Sarmady is aiming at becoming the number one Digital Destination in the region. MENA's #1DD.

Sarmady goes beyond crafting and publishing premium portals like FilGoal.com and Reyada.com in Sports, ContactCars.com in Automotive, Akhbarak.net and DarAlAkhbar.com in News, FilFan.com in Entertainment and Cinema  ... See More",Egypt,Cairo,2002-01-01,,
Heineken,,Egypt,Giza,2001-01-01,,
Union Coop,"Union Coop was established by Ministerial Resolution No. 31/2 dated May 24, 1982, issued by the Ministry of Labour and Social Affairs at the time. The aim of the establishment is to enhance the social and economic conditions of members and to serve the local community where it operates. Following best international practices in the retail sector.

Coop’s main activities are to establish hypermarkets and manage cooperatives within UAE. Union Coop is the largest consumer cooperative in t ... See More",Egypt,Cairo,,,
Azdan Business Analytics,Azdan is the most progressive management consultancy firm in the middle east. Azdan is delivering end-to-end business management solutions that help decision makers obtain 360-degree view of the business. We combine our international capabilities and local market knowledge with our extensive range of skills and industry expertise to implement first in class Enterprise solutions. ,United Arab Emirates,Dubai,,,
Trufla,"Trufla Technology is a Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design, to lead management, branded customer service and API’s, Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance.  
Think insurance is boring? Think again. 
Trufla is leading a digital revolution that will transform the insurance industry! We’re growing ... See More",Egypt,Cairo,2009-01-01,,
Samcrete Engineers & contractors,"Samcrete Engineers and Contractors is the engineering & construction arm that constitutes the core of Samcrete group business since inception.  The division has a 60 year track record of success in the fields of Building & Heavy Civil Construction, Infrastructure, Roads, Railways & Restorations.  

Over the years, SAMCRETE Engineers & Contractors have been responsible for the execution of some of Egypt’s most notable projects among which is the new campus of the American University in  ... See More",Egypt,Cairo,,,
Victory Link,"Victory Link provides mobile, internet, VAS and a digital solution to the world's leading brands and mobile operators, helping your brand achieve success with new forms of social media, internet and mobile communications.

Established in 1998 to oversee the different activities the subsidiary companies were undergoing and ensure a collaborative system between the companies to expand the company's operations beyond the Egyptian market in many countries since early 2004.

Victory Link ha ... See More",Egypt,Giza,1963-01-01,1000,
Netcompay- Intrasoft,,Egypt,Cairo,1998-01-01,,
CrossWorkers,"CrossWorkers is a Danish offshoring company working in the software development sector, supplying our clients with professional IT resources. The company has been in business since 2009 and provides excellent services within offshoring software development. The headquarters are in Copenhagen, Denmark and the Offshore Development Center is located in the 5th Settlement, Cairo.
 
Mission:

We supply European customers with highly motivated and skillful resources delivering high quality w ... See More",Jordan,,,,
CyberX,"CyberX focuses on Cybersecurity Awareness services to the region with its headquarters in KSA. By combining old-fashioned values, going the extra mile, and using Company expertise in implementing platforms, CyberX will lead the market, provide top-quality results, and make the hard tasks more enjoyable every time.

CyberX is an equal opportunity business making its expertise, services, and platforms available to help customers execute their awareness requirements efficiently through af ... See More",Egypt,Cairo,2012-01-01,,
Cryptostart,,Egypt,,2019-01-01,,
Jasara Program Management Company,,United Arab Emirates,Dubai,,,
"Bts, Llc",,Saudi Arabia,Jeddah,,,
Applus+,,Kuwait,Kuwait City,,,
University of Doha for Science and Technology (UDST),,Qatar,Doha,,,
World Food Program - Other locations,,Qatar,Doha,,,
Expert Apps,We are Saudi company started at 2009 in Saudi Arabia as IT Services provided focusing on solutions building and integration.   ,Egypt,Cairo,,,
FinBi Finance & Banking Consultants International,"A leading financial group in Egypt, operating since 1992 and recognized for its remarkable track record of success. We offer a diverse array of financial solutions and have established strong partnerships with both international and national entities. From assets valuation to Microfinance and more, our comprehensive financial solutions continue to grow. As we chart our course for the future, we are focused on expanding our operations across national and regional levels, making this an  ... See More",Egypt,Cairo,2009-01-01,,
Nahr Development,"Nahr Development is Web Development and Design company in Egypt, a multi-faceted and fast-growing IT services company.

Established in July 2007 and headquartered in Cairo, Nahr Development Egypt offers high quality and professional IT solutions and services to meet the evolving needs of businesses across the globe.

We deliver innovative web solutions to clients by helping them identify their most important business and technology opportunities and capitalizing on them. Our objective  ... See More",Egypt,Giza,,,
EGID company,"EGID is a fully owned subsidiary of the Egyptian Exchange (EGX), has over the past 24 years acted as the sole authorized data provider for EGX market data.

The information we provide helps Egypt-based as well as international investors get a better understanding of Egyptian financial markets. Moreover, EGID also plans to soon take the software development market by storm with various technology solutions that could be used by many sectors.

Furthermore, our Tier 3 data center and host ... See More",Egypt,Cairo,2007-01-01,,
Al-Meshka,"MEP Contracting & Trading Company
HVAC, Fire Fighting, Fire Alarm, LED light trader & agent and measurement devices for Steel factory. ",Egypt,Cairo,1999-01-01,,
waffarha.com,Waffarha.com is a 100% Egyptian E-Group Buying website specialized in Daily Deals industry by offering miscellaneous daily discounts starting from 50% up to 90%. ,Egypt,,,,
TREX,"Information Technology, Software House ",Egypt,,2012-01-01,,
eT3 - Tomorrow Information Technology,"Started in the early 90's as NCR/AT&T's regional development center, eT3 has separated in 1998 as a distinct company specialized in Integration and Business applications, partnering with Microsoft, Oracle, NCR and Teradata to combine the latest technologies with the information technology expertise of its leaders which goes back as far as the 60s. Together with its technology partners and rich customer base that spans most of Egypt's major institutions, eT3 has been the place of trust  ... See More",Egypt,Cairo,,,
AK IT Consulting,"AK IT Consulting  is specialized in providing businesses with the correct cloud applications, which can help them grow their business. This includes but is not limited to implementing and customizing the backend and frontend of: Customer Relationship Management or CRM, Financial Management, ERP, E-commerce, Website, inventory and Warehouse Management, Project Management and HR Management. We also support programming applications using JavaScript, C++, PHP, MYSQL, Java, XML and Python. ",Egypt,Cairo,1998-01-01,,
Dexef,"We are proud of our 14 years of experience at your service. The company has been working in the field of designing and developing financial and commercial software since 2004 and it is generally specialized in managing the company's resources. This is called (ERP) and has many programs in this specialization due to the breadth of customers in this field and also the size of their requests and therefore it can be said that Everything that deals in trade, manufacturing or the service fie ... See More",Egypt,Cairo,,,
Noases,"Noases is a venture studio that’s redefining entrepreneurship.
We’re a team of innovators, creators, and problem-solvers who are passionate about building businesses that make a difference.
The studio owns three brands that serve clients and serve the studio portfolio companies. Our brands serve portfolio companies, allowing them to grow organically. 
Tatware, It is a leading company in the field of research and development.
iRobotic, A leading company in the robotics industry.
Kayank, ... See More",Egypt,Monufya,2004-01-01,,
Rentokil Initial,,Egypt,Cairo,,,
T.EN,,Saudi Arabia,Jeddah,,,
HungerStation LTD,,Qatar,Doha,,,
Linxon,,United Arab Emirates,Dubai,,,
ADS Emirates LLC (Dubai South On-Shore Branch),,United Arab Emirates,Dubai,,,
"National Oilwell Varco, Inc.",,United Arab Emirates,Dubai,,,
Rentokil,,Saudi Arabia,Riyadh,,,
Esri,,Saudi Arabia,Riyadh,,,
FinTech Collective,,United Arab Emirates,Sharjah,,,
Vector Construction,,Egypt,Cairo,,,
Callsign,,United Arab Emirates,Dubai,,,
Antal International - Egypt,,United Arab Emirates,Dubai,,,
Smith+Nephew,,Egypt,Cairo,,,
Tie House,"Tie House was founded in 1995 by Mr Mohamed Nour; with a clear international mission and intention to dress young people like the shun stereotypes models; who want to feel good in whatever they are wearing.

Tie House takes the latest international trends then mix them with the most fashionable ideas to produce comfortable garments that suits many different styles.

Our Vision is to spread our brand all over the world in the next decade, as we take the approach of mingling both orienta ... See More",United Arab Emirates,Dubai,,,
Edentech,"Website URL: http://eden-tech.io/
Eden Technology specializes in innovative business and technology solutions for smart cities. We draw on our extensive experience in designing, implementing and operating Smart Cities solutions in the Middle East region through the past decade.

Our Services:
● Business architecture development.
● Solution architecture development.
● Systems integration services.
● Data analytics services.
● Artificial intelligence and Machine learning services. ",Egypt,Cairo,1995-01-01,,
King Faisal Specialist Hospital & Research Centre,,Egypt,Cairo,,,
City Centre Rotana,,Saudi Arabia,Riyadh,,,
Key One Realty LLC,,Qatar,Doha,,,
Power International Holding,,United Arab Emirates,Dubai,,,
Ernst & Young - MENA,,Qatar,Doha,,,
IQRA Network,"Established in 2017, IQRA Network is an online school for Arabic, Quran, and Islamic studies. 

Three dedicated individuals, each with unique expertise, came together to fill a need that was missing in the West. Dr. Fahd Albinali, a former MIT scientist, Dr.Hussein Babsail, an academic from Tufts, and Sh. Muhammad Yousef, an accomplished graduate of Quran and Islamic Studies from the prestigious Al-Azhar University in Egypt. 

The team connected esteemed teachers and scholars of Quran, ... See More",Qatar,Doha,,,
Engosoft,"Engosoft Center for Training and Engineering Consulting (an international center - Arab Gulf) specialized in training, employment and information technology services and building the capabilities and skills of human resources in the following sectors:
Engineering, industrial, technical, financial, commercial and chemical, which are needed by governmental and private institutions, civil society and individuals.


مركز إنجوسوف للتدريب و الاستشارات الهندسية ( مركز دولي - عربي خليجي ) متخص ... See More",United States,Boston,2017-01-01,,
CRE Venture Capital,,Egypt,Cairo,,,
"Arista Networks, Inc.",,Egypt,Cairo,,,
Amazon Web Services MENA FZ-LLC,,Saudi Arabia,Riyadh,,,
Amazon Web Services EMEA Dubai FZ Branch - Q29,,United Arab Emirates,Dubai,,,
Justmop,,United Arab Emirates,Dubai,,,
Carpet Land,,Saudi Arabia,Riyadh,,,
GET Group- Egypt,"For more than 30 years, GET Group has established a global reputation as a leading provider of end-to-end solutions for identity management, AI-powered digital transformation, safe and smart cities, and commercial card printing. Using state-of-the-art security systems, hardware, and software applications, GET Group provides institutions, enterprises and more than 25 governments worldwide with highly secure and durable travel and identification documents, business process automation, di ... See More",Egypt,,,,
Charisma Design,"We provide a wide range of services to local & international companies in almost all aspects of software and technology.
CHD is about people, relationships and the convergence of vision, focus and teamwork. With an experienced, collaborative team of developers, designers, and programing, content creators and technologists, CHD blends the best of each field to deliver precise results through a unique market know-how and a dedication to strategic thought. Our team of content creators and ... See More",Egypt,Cairo,1986-01-01,,
Amazon Middle East and North Africa FZ-LLC - F52,,Egypt,Cairo,,,
LABS,"LABS is a professional services company serving wide range of companies starting with small, up to mid and large enterprises in MENA Region with offices in Jeddah, Riyadh, Muscat, Cairo and Khartoum.
LABS is Part of Halawani Group Holding. ",United Arab Emirates,Dubai,,,
DXC.technology,,Egypt,Cairo,,,
Decorative Glass And Arab Union Glass Group,"Arab Union Glass was founded by Mr. Sobhy ElGenedy in 1960.
We have evolved into becoming the leader in the glass processing industry with state of the art top notch equipment and very high calibers.
Arab Union Glass has been certified the ISO 9001 in quality management systems
We insure that our team always receives to remain technology and service up to date.
Our branches cover all of Egypt, in order to insure all customers satisfaction. ",Saudi Arabia,Riyadh,,,
IST Networks,"IST is proud to employ the largest number of Customer Experience dedicated personnel within the GCC, Turkey and United Kingdom.

Our expert consultants and engineers are considered world-experts in their respected field, each having completed numerous challenging projects successfully. You can rest assure our skilled team of engineers, designers, solution architects and project managers are fully equipped to handle any CX challenge. ",Egypt,,1960-01-01,1000,
Superior Business Solutions,"Empowered by the deep understanding of the Middle East Local and Regional market, SBS is an innovative, dynamic, and progressive company, founded by a team of professionals with solid and diverse experience locally and regionally, focusing on providing a wide range of health care IT products & Services, delivering integrated solutions to support the strategic objectives of health care establishments, offering innovative solutions and services to serve the public and private health care ... See More",Egypt,Cairo,,,
As-Salam International Hospital,"In 1982 As-Salam International Hospital opened its doors for its community to experience a new level of care becoming the referral hospital in the private health care sector in Egypt. 

Committed to providing international standard of medical services through a dedicated professional medical, nursing, technical, paramedical and administrative teams from Egypt, MENA Region, Philippines and other countries supported by latest technologies. 

Since inception, As-Salam International Hospit ... See More",Egypt,Cairo,2009-01-01,,
IT Security C&T,,Egypt,Cairo,,1000,
Dynamicslink,Dynamics Link is the first Egyptian company that becomes a Microsoft Dynamics Partner which provides Microsoft Dynamics NAV. It was founded specially to be a NAV provider for Africa and the Middle East. It was established in 2015. ,Saudi Arabia,Khobar,,,
Centione,"We market, design and manage all your platforms for you to woo you . ",Egypt,Cairo,2015-01-01,,
Finiex Soft,"FAAINEX has good experience business knowledge and Projects within the GCC Country, with number of high distinguished professional experience. staff
 Our company is providing integrated services by using many methodologies of latest technology and seeks to enable the partners to achieve administrative and technical efficiency and effectiveness.

     Our confidence work is summarized with this following Points:

•	Great experience with clients in Different Departments Accounts, HR, Inv ... See More",Egypt,Cairo,2020-01-01,,
ITS,"Since 1981, ITS has been a leading integrated information technology and services solutions provider. ITS targets wide range of industry segments to offers world-class IT solutions. We have showcases high success in implementing cutting-edge IT business solutions.
 
Over decades of experiences, we have developed and demonstrated excellent technology competencies and high end skill capabilities to meet the growing market needs. We have been forerunner in developing latest technical skil ... See More",Egypt,Alexandria,,,
Dorra Group,"The Dorra Group is a name that speaks a legacy; a legacy of revolutionizing accomplishments, brilliant designs and sustained customer satisfaction. Our extensive acquaintance of the market and its demands, coupled with over 70 priceless years of experience, solid effort and dedication has made us claim the prominent and prevailing position we hold today. Nevertheless, we constantly strive harder, and develop further, to serve better.

From the largest business development to the smalle ... See More",Egypt,Cairo,,1000,
Outservingplus,"OUTSERVING PLUS offers you more than just outsourcing, Talent’s acquisition, and specialized consultancy Services. It gives you sustainable and long commitment from HR experts to cure your manpower and organizational deficiencies turning your company environment into a healthier one. It is indeed, OUTSERVING PLUS... ",Egypt,Cairo,,,
Amazon Data Services Emirates LLC - Dubai Branch - K71,,Egypt,Giza,2021-01-01,,
Jumia,"Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia’s mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.

Our platforms consist of our marketplace, which connects sellers with consumers, our logistics service, which enables the shipment and delivery of packages from  ... See More",United Arab Emirates,Dubai,,,
"IOActive, Inc.",,Egypt,Cairo,,,
"White House Nannies, Inc.",,United Arab Emirates,Dubai,,,
ADNOC (Abu Dhabi National Oil Company),,Egypt,Alexandria,,,
Qsource,"Qsource is constantly focusing on innovating and delivering outstanding Outsourcing, E-Learning services and IT solutions,Depending upon the nature and situation of our business partners. ",United Arab Emirates,Abu Dhabi,,,
"GreatAuPair, LLC",,Egypt,Cairo,,,
KBR Inc.,,United Arab Emirates,Dubai,,,
MICA,"نحن أكاديميـــة مصـر الدوليـة للحاسبــات، أول أكاديميــة تدريـب مهنــي دولية لتعليم البرمجيات والحاسب الآلـي والشبكات، بنظـــام 3 سنـــوات بعــد الإعــداديــة، تؤهـل الطالــب للحصــول علـى دبلـوم التلمـذة الصناعيــة المعتمــدة مـن وزارتي التجــارة والصناعــة و وزارة التربيـة والتعليــم بموجــب القــرار رقــم 92 لسنــة 1968.

تأسسـت الأكاديميـة عــام 2015م تحت إدارة شركــتي نـت سكيـل وتيـرا للبرمجيـات المتخصصيـن منـذ أكثـر مـن عشر سنـوات في مجـال نظم المعلومات والبرمجيات والتدريب فـي مص ... See More",United Arab Emirates,Abu Dhabi,,,
HITS Solutions,"•Founded in 1998 as one of the pioneer software companies (ISV).
•Working in the field of Business Solutions, Cloud, ML, AI, IoT, Robotics, and Blockchain technologies.
•Existing in more than 50 countries, Managing more than 1 million users
•One of the leaders in digital transformation with  its innovative IP in many technology areas
•Microsoft Golden Partner since 2003
•Winner of Microsoft Partner of the year awards for 2014, 2015, 2017, 2018 & 2019.
•Existence and partners in differe ... See More",Egypt,Giza,,,
9H Capital,"Through the growth of strategic partnerships and knowledge-base — We deliver a unique and unchallenged offering.

9H Capital is a new comprehensive technology and digital services group co-founded by ANCHOVY’s founders Benji and Zak Borg, and James Abela and Matthew Sammut of NIU Ltd. 

It consolidates the respective companies’ local market leadership position and their technology talent base into an integrated digital offering that provides each client base with end-to-end digital ser ... See More",Egypt,Cairo,1998-01-01,,
Alouf Travel,"Alouf Group of companies was established in 1996 with an Egyptian capital. In 2005 we were enlarged within activities and group services to provide specialized companies and customers with  tourism services, transportation services, ticketing, maintenance service , Limousine so that the company will fulfil the line of business with all the services offered to companies and individuals, also we entered the area of specialized tourism like internal and external tourism, religious tourism ... See More",Malta,Żebbuġ,,,
InnovaDigits,Our solutions lead the future of innovative experiences. We are helping medium and enterprise companies across all industries to build and modernize their business automation solutions and infrastructure by focusing on the most critical factors of success. ,Egypt,Giza,1995-01-01,,
DIRAC SYSTEMS,"Dirac Systems S.A.E  is a regional services provider offering technology driven business solutions that meet the strategic objectives of our clients.


 ",Egypt,Cairo,2014-01-01,,
Ahmed El-Sallab,"El  Sallab Company was established in 1912. The vision was to create a company that would keep alive the values like respect among all people, excellent customer service and to lay the groundwork for trade based on trust with customers and suppliers.The company is now recognized as the leading company for Ceramic, Porcelain, faucets, basin units, pipes, fittings, sinks, bathtubs, shower cabinets, bathroom accessories and sanitary ware in The Middle east. It has been fostering its leade ... See More",Egypt,Cairo,2014-01-01,,
Nahdetmisr For Environmental services,,Egypt,,1912-01-01,,
Global Brands,"Founded in 1997, Global Brands is a leading provider of IT Consulting, Technology and Outsourcing services. Global Brands provides IT solutions for small, mid-sized and enterprise businesses.     Our powerful tools, professional team and planned processes integrate to improve your business processes and accelerate your business results.    Global Brands competitive advantage comes from combining market-leading hardware and software products with consistent high-quality services.    Job ... See More",Egypt,,,,
intrazero,"We are a digital agency specialized in web development, SEO, mobile apps, cloud computing, web design, graphic design, illustrators, social media and With 9+ year’s experience.

Intrazero was founded on 2 June 2011 Under Name Ghoweb, at 2016 we decided to rebrand our name to Intrazero.

At Intrazero, we have assembled a talented team of designers, developers, marketers, communications specialists, project managers and business developers to work in a collaborative manner on your busine ... See More",Egypt,Cairo,1997-01-01,,
Hypemasters,,Egypt,Cairo,2016-01-01,,
Zain - Kuwait,,United Arab Emirates,Dubai,,,
Progressive GE,,Kuwait,Kuwait City,,,
Dafa,Tech Hub - Software Engineering House. ,United Arab Emirates,Dubai,,,
Mazar construction,"Mazar is considered one of the companies specialized in constructioncompany,Fine_Finishing, architectural solutions &Furniture manufacturing.

At Mazar we provide a complete Interior Design solution. From initial consultation with the client to the phase of designing,manufacturing, and installation of the finished product

 We work hardly to carry out our projects for accessing to the final stage that matches what has been submitted for our customers to let our imagination becomes true ... See More",Egypt,Giza,,,
Viavi Solutions,"Viavi (NASDAQ: VIAV) software and hardware platforms and instruments deliver end-to-end visibility across physical, virtual and hybrid networks. Precise intelligence and actionable insight from across the network ecosystem optimizes the service experience for increased customer loyalty, greater profitability and quicker transitions to next-generation technologies. Viavi is also a leader in anti-counterfeiting solutions for currency authentication and high-value optical components and i ... See More",Egypt,Cairo,2007-01-01,,
Exacall,,Egypt,Cairo,2015-01-01,1000,
APCO Worldwide LLC,,Egypt,Cairo,,,
Pure Group,,Saudi Arabia,Riyadh,,,
Abacus Technology,,Egypt,,,,
EELU,"EELU is a national institute that provides high-quality education and training services for everybody everywhere at affordable prices. EELU graduates and trainees are able to deal with advanced technologies and become productive members of Egyptian society. EELU degrees are designed for achievers! Presidential decree number 71 was issued on February 15, 2018, to transform the university from a private university to a national university. ",Saudi Arabia,Qatif,,,
Logistica,"Logistica’s state of the art facilities in the 6th of October over 50,000 SQM utilizes the latest in warehouse management technologies, providing the necessary resources to enhance supply chain efficiency.

The facility is equipped with all the highest quality of installations following international standards, which allows it to function with complete safety and security.  Having a dry, cold chain installation (-30°C to + 15°C) and temperature-controlled space (+15°C to +25°C) at our  ... See More",Egypt,Cairo,2008-01-01,,
Estafsar,Estafsar is creating a one-stop-shop for the insurance industry ,Egypt,Giza,2011-01-01,,
Xceed Contact Center,,Egypt,Cairo,2020-01-01,,
Etisalat Egypt,"Etisalat Misr is a subsidiary of Etisalat group with total presence in 20(*) countries across Africa , middle east and Asia. Etisalat group entered the Egyptian market and commercially launched  in May 2007 with it’s Vision to “Become the brand of choice in the Egyptian telecom market” leading a new era for the telecom industry in Egypt and providing the best services to Egyptians.

Etisalat Misr achieved technology leadership by introducing for the first time to the Egyptian market a  ... See More",Egypt,Giza,,1000,
United Group For Engineering And Investment,"UGEI is an Egyptian Group in a unique position having its own vast resources, experience and skill

base that can be accessed from both timeously and efficiently to meet and commit on any

challenge. UGEI acting as a Consultation and Solution providers; covering different sectors such as

Construction, Marine, Agriculture, Environment and Medical; our ability to do this most effectively

reinforces our credibility and trust. ",Egypt,Cairo,2007-01-01,1000,
Ultimate Academy Not Verified,"Ultimate Academy is the academic arm for Ultimate Solutions Co., which is one of the largest software companies in the Middle East that provides high quality software solutions for businessmen and companies. Ultimate Academy specializes in ERP training on systems developed by Ultimate Solutions. Our main goal is to give our trainees the advantage in the labor market by qualifying them to become professionals on our state-of-the-art systems. ",Egypt,Cairo,,,
ثقة الانجاز,"تطبيق وثق، وجهتك الأولى لتوثيق العقود مابين بيع وشراء وتأجير وأكثر!
يتم ربطها بالمعلومات الشخصية عبر النفاذ الوطني

Headquarters
Olaya Street, Al Olaya District, Riyadh, Riyadh, Riyadh SA ",Egypt,Giza,2017-01-01,,
El-Sewedy Electrometer,"El Sewedy Electrometer Group (EMG) is a world class provider of end-to-end metering solutions and services including field-upgradable metering products, communications devices, cutting edge meter management software and IT infrastructure that help Electricity, Water and Gas Utilities in overcoming operational challenges of Revenue Collection, Network Losses Reduction and Load Management. 

El Sewedy EMG caters to the needs of its Clients across the globe through strategically located f ... See More",Egypt,Cairo,2020-01-01,,
qTech.,"Alqemam Tech. established 2010 achieving great successful projects in the Middle East. Our goal is to provide our clients with all the solutions needed to effectively monitor, manage and secure their IT environment. ",Egypt,Giza,1998-01-01,1000,
AGG information technology,,Egypt,Dakahlia,2010-01-01,,
Art Link,"Artlink Group is an aggregation of highly professional companies that are committed to being the most future focused global ideas in its field. Whatever the challenge, We shape our solutions accordingly and use whichever media forms are the best to achieve the required objective. ",Egypt,Giza,,,
El Sewedy Education - The Knowledge Hub Universities,"Building its presence in Egypt and the region on three main pillars: Innovation, Inclusivity and Accessibility
Extending its reach beyond Egypt into Africa, the Middle East and neighboring countries
Will create a sustainable world-class model of knowledge and technology transfer
Will be distinguished as the leading provider of quality education in the region by partnering with internationally recognized institutions
Will impact the regions’ education sector by offering well-rounded aca ... See More",Egypt,Alexandria,1998-01-01,,
