job_title,description,requirements,post_date,viewed,considered,experience_min,experience_max,career_level,education_level,salary_min,salary_max,hidden_salary,gender,vacancies,company_name,country,city,district
Engineer - Construction,"Company Description Work with Us. Change the World. At AECOM, we're delivering a better world. Whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. We are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations. There has never been a better time to be at AECOM. With accelerating infrastructure investment worldwide, our services are in great demand. We invite you to bring your bold ideas and big dreams and become part of a global team of nearly 50,000 planners, designers, engineers, scientists, digital innovators, program and construction managers and other professionals delivering projects that create a positive and tangible impact around the world. We're one global team driven by our common purpose to deliver a better world. Join us. Job Description Under general supervision, performs routine duties.
Displays knowledge and abilities to evaluate, select and apply standard engineering techniques, procedures and criteria to meet basic engineering and construction specifications.
Displays applications of sound professional judgment on details of work.
Independently performs walk-downs and inspections of installed commodities to assure conformance with specifications and design.
Performs quantity surveys for tracking and reporting.
May provide technical direction to drafters, technicians, and surveyors.
Qualifications Mechanical, Electrical, Civils or Structural background
Degree educated in relevant discipline
Minimum 10 years experience
Additional Information About AECOMAECOM is the world’s trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle – from advisory, planning, design and engineering to program and construction management. On projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. Our teams are driven by a common purpose to deliver a better world through our unrivaled technical and digital expertise, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. AECOM is a Fortune 500 firm and its Professional Services business had revenue of $13.1 billion in fiscal year 2022. See how we are delivering sustainable legacies for generations to come at aecom.com and @AECOM. Freedom to Grow in a World of Opportunity You will have the flexibility you need to do your best work with hybrid work options. Whether you’re working from an AECOM office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed. You will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients. AECOM provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. We also provide a robust global well-being program. We’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too. Join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours. All your information will be kept confidential according to EEO guidelines. Req ID: J10078404Business Line: Construction Management Business Group: DCSStrategic Business Unit: ME and Africa Career Area: Construction Work Location Model: Please Select",,2023-10-20,,,,,,,,,True,,1,AECOM,Saudi Arabia,Riyadh,
Senior Engineer (Project Control),"Overview / Responsibilities
Wood is currently looking to recruit a PMC Senior Planning and Cost Engineer to work as part of the PMC team on a ADNOC onshore project. Successful candidate shall perform the below duties;Should be familiar with and has demonstrated records of Delay Analysis techniques including : Impacted as-Planned, Collapsed as-Built , As Planned Vs As Built , Time Impact Analysis (TIA) and Window Analysis 
Able to demonstrate and use problem solving techniques and Root cause analysis
Studying and understanding all relevant documents and conditions pertaining to the project
Establishing and defining job orientated project control procedures
Defining primary job objectives clearly at project and departmental management levels by highlighting schedule and cost requirements
Organising and directing the activities of the project control team
Ensuring the maintenance of both time and cost trend statistics
Monitoring and comparing both schedule and cost reports and relating conclusions such that management control action is alerted at the right time
Reviewing overall job status with cost / planning engineers and management and, at least monthly, recommend corrective action if necessary
Reviewing actual site progress against planned progress, particularly with regard to manpower levels, productivity, construction metrics and payment
Liaising with other departments at all meetings relative to project operations, to ensure that information affecting schedule and cost is continually up-dated
Co-ordination of the final job statistics and analysis of the effectiveness of procedures for possible improvement on future projects
Providing feedback on key project issues to Department Management team on a timely basis

Skills / Qualifications
Bachelor degree in Engineering
Minimum 15 years of experience 
A proven track record in engineering and construction of oil and gas, petrochemical or similar facilities
A pro-active approach to solving problems and getting the job done
Excellent written and verbal communication skills
Expert with Primavera P6 and spreadsheets, with database capability
Self-motivated, energetic and tenacious
Willing to share information and develop junior staff

Company Overview
Wood is a global leader in consulting and engineering, helping to unlock solutions to critical challenges in energy and materials markets. We provide consulting, projects and operations solutions in 60 countries, employing around 35,000 people. www.woodplc.com
Diversity Statement
We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.",,2023-10-20,,,,,,,,,True,,1,John Wood Group PLC,United Arab Emirates,Dubai,
Senior Presales Consultant - RS,"Senior Presales Consultant - RSJob Description Promotes Giza Systems’ image and culture internally & externally. Performs pre-investigation, data gathering, requirements and gap analysis. Estimates and sizes the customer requirements with reference to the pre-investigation and using the help of the technical/functional staff or third party when necessary. Prepares and conducts customer presentations on the proposed solution. Work with Development Consultants and technical/ functional Staff to respond to compliance sheets. Responds to customer inquiries to explain the proposed solution and conduct Po Cs when needed. Study and respond to RFI/RFQ/RFP, build the P&L, technical write-up and the costing of the proposed solution. Prepares technological trends analysis reports & new solution coverage report. Maintain excellent connections with assigned vendors and certify on their products. Personal Skills Excellent communications, presentations, and interpersonal skills. Excellent knowledge of Microsoft Office productivity tools. Excellent command of English language, French will be an added value. Flexibility to travel abroad (up to 25%). Technical Skills• From 6 to 12 years Presales experience is essential. • Experience in IP Networking, IP Traffic Management, DPI, Network Load Balancers. • Experience in Telecom Regulatory solutions. • Excellent pre-sales technical skills. • Excellent English and Arabic Business and Technical writing skills. Education B. Sc. in Computer or Telecommunications Engineering or B. Sc. in Computer Science Job Location Cairo, Egypt Job Role Engineering Years of Experience Min: 6 Max: 12 Residence Location Cairo, Egypt",,2023-10-20,,,,,,,,,True,,1,Giza Arabia Systems,Egypt,Cairo,
ENQUIRY FOR END CAP,"Enquiry for end cap Company Name :* N. FLocation : Abu Dhabi United Arab Emirates Enquiry Ref Number : 122088GI END CLAMP FOR FIXED END SYSTEM PLASTIC END CAP FOR C-RAIL TRACK GI BOLTED TRACK JOINT, W/BOLT, NUT, L-WAS GI C-RAIL TRACK SUPPORT BRACKET &",,2023-10-20,,,,,,,,,True,,1,Sio365,United Arab Emirates,Abu Dhabi,
Technical Project Manager (ACS-CSS),"Experienced and high performing technical project manager with waterfall and agile project management knowledge of IT projects which include the setting up of remote monitoring and management services of complex IT environments on-premises and in the Cloud.  Should hold a recent accredited project management qualification (e.g. PRINCE2, Agile PM, PMP, CAPM, etc) Overall owner of the customer's service setup post-sale through the implementation phase and then handover to operations. Ability to work closely with new customers and the Implementation team to successfully deliver a controlled project meeting all contractual obligations within scope and budget. A primary point of contact for customers during service implementation, you are responsible for project managing the service setup and implementation of remotely delivered monitoring and management services while meeting high customer and internal expectations for projects not expected to run longer than 4 weeks. As a member of the Support organization, your focus is to deliver post-sales support and solutions to the Oracle customer base while serving as an advocate for customer needs. This involves resolving post-sales non-technical customer inquiries via phone and electronic means, as well as, technical questions regarding the use of and troubleshooting for our Electronic Support Services. A primary point of contact for customers, you are responsible for facilitating customer relationships with Support and providing advice and assistance to internal Oracle employees on diverse customer situations and escalated issues. As an Advisory Systems Engineer, you are expected to be an expert member of the problem-solving/avoidance team and be highly skilled in solving extremely complex (often previously unknown), critical customer issues. Performing the assigned duties with a high level of autonomy and reporting to management on customer status and technical matters on a regular basis, you will be expected to work with very limited guidance from management. Further, the Advisory Systems Engineer is sought by customers and Oracle employees to provide expert technical advice. Leading contributor individually and as a team member, providing direction and mentoring to others. Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Because of substantial customer interfacing, a demonstrated ability to work with customers on an independent basis with exceptional communication skills, while consistently achieving the absolute highest levels of customer satisfaction. Both a Bachelor*s and Master*s degree in Computer Science, Engineering or equivalent experience 8 years related experience prior to taking this position. In addition, experience with Oracle*s core products, applications, and tools.",,2023-10-20,,,,,,,,,True,,1,Oracle - Egypt,Egypt,Cairo,
SENIOR PETROLEUM ENGINEER,"Job description: B. S. degree is required in petroleum engineering, chemical engineering, or mechanical engineering.

Minimumfifteen (15) years of work experience as a petroleum engineer in the oil andgas industry with demonstrated surveillance/production engineering expertise inoptimizing well production in large oil and gas fields. 

 Proven experience at recommending remedialwell work solutions for horizontal wells in heterogeneous oil reservoirs withvariable geo-layer parameters: porosity, permeability, water saturation,thickness, etc. 

Experiencewith well testing, analysis, reservoir monitoring and allocation of welltest/production data.

Experiencewith tubing & IPR modelling and Gas Lift design/troubleshooting.

Experiencewith interpretation of cased hole production and diagnostic logs. 

Musthave strong teamwork skills, and it would be an advantage to have experienceworking in a multicultural environment. 

Mustbe able to communicate effectively with peers, less experienced staff, fieldstaff, and management.

 Must have experience mentoring less experiencedengineers. 

Workingexperience in deep water reservoirs.

Musthave experience/knowledge of current computer software for productionengineering applications.",,2023-10-20,,,,,,,,,True,,1,Applus+,Qatar,Doha,
Network Systems Engineer (Pre-Sales) - Cloud Networking,"Network Systems Engineer (Pre-Sales) - Cloud Networking Full-time Job Description Arista Networks is the pioneer and industry leader in the delivery of software-driven Cloud Networking and programmable switches for Data Center and Campus networks. We are experiencing tremendous growth and due to promotion we have an immediate need for a collaborative, self-motivated Pre-Sales Network Systems Engineer OR Network Architect to partner with our Account teams to provide pre-sales technical systems engineering support for our enterprise/commercial and SP customers in the KSA and UAE region. The Systems Engineer is a critical component of the Arista Sales team with the key responsibility of acting as a trusted advisor for our customers to gather requirements and identify opportunities with existing and new customers. Responsibilities: You will partner with the Arista Account Managers to understand customer pain points and conduct white board network architectural reviews in addition to conducting Arista product presentations of Arista’s Open Networking Data Center and Cognitive Campus (including Wifi) networking solutions, Cloud Vision (Network Automation), Security (Network Detection), Endpoint Security and Real-time Fabric Monitoring solutions. You will architect, design and propose Arista Data Center & Campus network solutions using leaf-spine architectures (Vx LAN, EVPN) and network overlays to capture additional sales. Perform hands-on tests to validate customer proof-of-concept setups, Data Center and/or Campus network designs, and network deployments using new products and features. Put together design guidelines and recommend improvements to customers for the networks they support Partner with Sales Team to respond to RFP/RFQs Provide feedback to Product Management and Engineering Represent Arista at SDN and Open Networking industry events and conferences Keep up-to-date on competitive solutions, products, and services Author white papers on technology and product Qualifications BS/CS/CE technical degree required Network Industry Certification preferred ACE - Arista Cloud Engineering Certification or equivalent experience ( CCIE (R&S), JNCIE) You possess a minimum of 5+ of L2/L3 networking design and implementation experience with a focus on Data Center, Campus, and Wifi solutions. Strong experience with routing and switching including L2/L3 protocols. You possess recent experience in leaf-spine architecture design. Demonstrated work experience as either a Sales Engineer, Solutions Architect, Pre-Sales SE or Network Consulting Engineer preferred Good knowledge in the following areas: Ethernet, RSTP/ MSTP, VLANs, IP Routing, TCP/IP, OSPF, BGP, e BGP, Vx LAN, Multicast, Spanning Tree, Qo S Good understanding of the competitor technology landscape - Cisco, Juniper Good knowledge of industry-standard CLI Experience with SDN and Network Function Virtualization (NFV) highly desired. Previous experience building network automation using Python and Ansible desired. Knowledge of competitive products, solutions, and services Ability to write white papers a plus Additional Information All your information will be kept confidential according to EEO guidelines. Fluent Arabic and English speaking applicants only will be eligible for this role. You will also be currently residence in Saudi Arabia or the UAE with current customer knowledge of the region. Network Systems Engineer (Pre-Sales) - Cloud Networking Riyadh Saudi Arabia * Full-time",,2023-10-20,,,,,,,,,True,,1,"Arista Networks, Inc.",Saudi Arabia,Riyadh,
"Senior Solutions Architect, UAE Commercial","This role is within the MENA organization and you would be working with Enterprise customers across all industries and tech domains, in the UAE. Amazon Web Services (AWS) is looking for experienced and motivated technologists who possess a unique balance of technical depth and strong interpersonal skills. You will partner with customers, AWS Sales and several other AWS teams to craft highly scalable, flexible and resilient cloud architectures that address customer business problems and accelerate the adoption of AWS services. In collaboration with sales, you will drive revenue growth across a broad set of customers. As a trusted customer advocate, the solutions architect will help organizations understand best practices around advanced cloud-based solutions, and how to migrate existing workloads to the cloud. You will have the opportunity to help shape and execute a strategy to build mindshare and broad use of AWS within enterprise customers. The ideal candidate must be self-motivated with a proven track record in software/technology sales or consulting. The ability to connect technology with measureable business value is critical to a solutions architect. You should also have a demonstrated ability to think strategically about business, products, and technical challenges. Here are some other qualities we are looking for:- Be great fun to work with. At AWS, we have a credo of “Work hard. Have fun. Make history”. In this role, you will love what you do, and instinctively know how to make work fun. You will be dynamic and creative, and willing to take on any challenge and make a big impact.- Enjoy working with customers. You will have a passion for educating, training, designing, and building solutions for a diverse and challenging set of enterprise customers.- You will enjoy keeping your existing technical skills honed and developing new ones, so you can make strong contributions to deep architecture discussions. We are open to hiring candidates to work out of one of the following locations: Dubai, ARE- Technical degree in Computer Science or related technical field or equivalent experience.- Significant experience in developing technology solutions, including but not limited to: operations/engineering, networking engineering, infrastructure/database architecture, and/or applications development.- Broad technology experience including: cloud architecture, applications development, relational databases, No SQL databases, analytics, machine learning, networking, security, storage, Dev Ops, containers, serverless, CI/CD, management and monitoring, cloud migrations, IT transformation.- Experience architecting/designing solutions built on cloud ideal but not required (AWS, Azure, GCP).- Experience migrating or transforming legacy solutions to the cloud.- Presentation and white boarding skills with a high degree of comfort speaking with internal and external executives, IT management, and technical teams.- Excellent communication skills with an ability to right level conversations.- Demonstrated ability to adapt to new technologies and learn quickly.",,2023-10-20,,,,,,,,,True,,1,Amazon Web Services MENA FZ-LLC,United Arab Emirates,Dubai,
Senior Analyst - Forecasting and Research,"Transguard Group was established in 2001 and has diversified significantly, we lead in the fields of Cash Services, Security Services, Manpower Services, Facilities Management & Aviation. Transguard Group is the UAE’s most trusted business support and outsourcing provider and has a large, dynamic and culturally diverse workforce with 50,000 employees! We are currently recruiting for a Senior Analyst - Forecasting and Research for our trusted client to be based out of their office in Dubai.
Job Purpose:
The job purpose is to offer analytical support for aviation market research and development initiatives aimed at enhancing traffic growth and gaining Customer Insights for Dubai International and Dubai World Central airports. This role involves analyzing traffic performance, on-time performance, market opportunities, and risks, as well as assessing customer sentiments. Additionally, it entails the responsibility of producing routine traffic analysis reports and maintaining data repositories vital for diverse market development and customer experience (CX) activities, encompassing tasks like traffic analysis and forecasting, evaluating airline performance, schedule development, and customer sentiment analysis, among others.
Responsibilities:
Market Research & Analysis • Conduct in-depth market research to assess specific airlines' network and market sizes in their catchment areas to Dubai.• Collaborate with the manager and senior analyst to analyze and devise effective marketing strategies for Dubai Airports in these markets.• Prepare and deliver presentations that communicate the findings and analysis effectively.
Performance Reporting and Trend Analysis • Generate routine reports, including monthly management information reports that track airport performance metrics such as passenger numbers, cargo volumes, aero-revenue, and flight schedules.• Provide comprehensive written commentary on observed trends, backed by thorough analysis that identifies opportunities and risks related to airport performance.
 
 ",,2023-10-20,,,,,,,,,True,,1,Transguard group,United Arab Emirates,Dubai,
Lany Surveyor,"Job Description Stantec is looking to hire a Surveyor for a Sewage Treatment Plant in Dubai. This role is for a project where the authority in Dubai is requiring the rehabilitation of an existing Sewage Treatment Plant (STP) to enable it to perform at its highest possible efficiency and to extend the plant to be able to receive and treat efficiently up toaround 435,000 m3 /day. The selected candidate shall have extensive experience working in local sewage treatment plant facilities along with a proven ability to manage and supervise the construction works and optimization of the operation process within the existing STP in accordance with the specification. Rehabilitation / Repairing of Civil Works, Extension of the Plant to around 175,000 m3/Day and Rehabilitation of existing 260,000m3/Day STPQualifications Qualifications:• The candidate must be relevant technical qualification.• To have not less than 10 years of experience in survey works with modern instruments in works related to infrastructure works.• To have a thoughtful knowledge of existing infrastructure networks in the Emirates of Dubai.• Must have an experience of inspection/ supervising of project activities/ works.• To be be highly experienced in total station and their associated software.• Computer literate with working knowledge of Auto CAD and other related software.#LI-Middle East",,2023-10-20,,,,,,,,,True,,1,Stantec,United Arab Emirates,Dubai,
Senior Compliance Analyst (Client Acceptance) - For UAE Nationals,"JOB PURPOSE
 To complete due diligence on new to bank client on-boarding, monitor existing clients to rule out money laundering/terrorist financing/sanctions risks, investigate and report unusual/suspicious cases to UAE Central Bank in order to comply with regulatory requirements and mitigate risk for the bank.
 
ACCOUNTABILITIES
 
Client On-boarding
Review account opening/know your customer (KYC) documentation, conduct quality client due diligence factoring AML/CFT and sanctions risks, liaise with business units and vigilance and control team to ensure quality of KYC forms and documents.
Document on-boarding decisions for reviewed clients, provide advisory for sanctions matches referred by operations and business units and provide sign off for account opening for increased risk and Politically Exposed Persons (PEP) customers to ensure compliance with regulatory requirements.
 Client Risk-Assessment
Conduct risk assessments on reviewed clients, issue advisory/take decisions on new to bank account opening requests, make decisions on the risk assessment (increased, neutral, un-acceptable risks) of existing relationships to ensure compliance with regulatory requirements.
Client Monitoring/Investigation
Review system generated alerts against customer data, investigate for potential money laundering/terrorist financing/sanctions risks, collect documentary proof, build/maintain case files for transactions and customers deemed suspicious, update relevant MIS to ensure accurate tracking and record keeping, mitigate sanctions risks by taking decisions on payment filtering system, update internal watch-lists, identify tainted/blacklisted names and ensure required actions are taken in order to fulfil regulatory requirements and avoid penalties.
External Reporting and Correspondence
Draft and report on MLRO/Deputy MLRO approved suspicious transaction reports (STRs), action and submit responses to UAE Central Bank on STRs, assist with addressing queries from corresponding banks relating to money laundering and sanctions matters, carry out freezing of funds and blocking of accounts, respond to and raise requests for information (RFIs) from other banks on anti-money laundering and sanctions in order to fulfil regulatory requirements and avoid penalties.
 
Advice and Guidance
Act as a subject matter expert to employees providing guidance on what actions to take when dealing with high risk accounts and transactions, contribute to the formulation of internal policies, procedures and training materials to support compliance with regulatory requirements.
 Policies, Processes, Systems and Procedures
Adhere to all relevant organisational and departmental policies, processes, standard operating procedures and instructions so that work is carried out to the required standard and in a consistent manner while delivering the required standard of service to customers and stakeholders.
 Self-Management
Manage self in line with the bank’s people management policies, procedures, processes and practices to ensure adherence and to maximise own contribution to business performance.
Customer Service
Demonstrate Our Promise and apply the ADCB Service Standards to deliver the bank’s required levels of service in all internal and external customer interactions.",,2023-10-20,,,,,,,,,True,,1,ADCB Abu Dhabi Commercial Bank,United Arab Emirates,Dubai,
Application Architect: Oracle Enterprise Applications (SCM),"Introduction As an IBM Application Architect, you directly help clients transform their business  and solve complex problems. You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms.  You are a technical leader, serving as a liaison among business partners, technical resources, and project stakeholders. Your Role and Responsibilities As an Architect in IBM Consulting, you’ll serve as a leader in defining solutions for clients. You’ll be the advocate for the client while guiding the technical team to implementation. You’ll collaborate with client stakeholders and internal partners to understand the business problem and requirements, constraints of the system and concerns of the various stakeholders to systematically transform detailed solutions (architectures) for the client. Your primary responsibilities include:• Analyze and translate IT requirements using modernization frameworks into components of a modernized solution.• Develop and test applications in cloud environments and be part of Delivery/Engagement teams.• Reuse and enhance Digital modernization assets, methods, and collateral.• Collaborate in the design and implementation of cloud infrastructure solutions and services for our customer’s needs. Required Technical and Professional Expertise Recognized professional qualification with extensive experience delivering Supply chain application sales plays, solutioning and Delivery preferably within the Oracle ecosphere and with Oracle Saa S implementation experience inclusive of OTM, Procurement, Inventory and Supply Chain planning. Strong industry domain experience in Distribution, Industrials and / or Public Sector Preferred Technical and Professional Expertise Oracle presales, sales and or implementation certifications in the Supply chain pillar.",,2023-10-20,,,,,,,,,True,,1,Gulf Business Machines PND,Saudi Arabia,Riyadh,
CRM Developer,"We are seeking a highly skilled and experienced CRM Developer to join our team. As a CRM Developer, you will be responsible for developing and maintaining our customer relationship management (CRM) system to ensure its optimal functionality. This role requires strong technical expertise, attention to detail, and the ability to work collaboratively with cross-functional teams. As a CRM Developer, you will be responsible for customizing and configuring our CRM system to meet specific business requirements. You will play a key role in developing and implementing new features and functionalities, as well as troubleshooting and resolving any issues that may arise. You will also be responsible for working closely with stakeholders to gather and translate business requirements into technical solutions. The ideal candidate for this role has a strong background in CRM development and implementation, as well as a deep understanding of CRM best practices. They are skilled in programming languages such as Java Script and C#, and have experience working with CRM platforms such as Salesforce, Microsoft Dynamics, or Oracle CRM. Strong problem-solving and communication skills are a must, as well as the ability to work effectively both independently and in a team. Responsibilities Customize and configure the CRM system to meet business requirements Develop and implement new features and functionalities Troubleshoot and resolve any issues with the CRM system Gather and translate business requirements into technical solutions Collaborate with cross-functional teams to ensure successful CRM implementation Ensure data integrity and accuracy within the CRM system Monitor and optimize system performance","Skills
Requirements Bachelor's degree in Computer Science, Engineering, or a related field Proven experience in CRM development and implementation Strong programming skills in Java Script and C#In-depth knowledge of CRM platforms such as Salesforce, Microsoft Dynamics, or Oracle CRMFamiliarity with CRM best practices and industry standards Excellent problem-solving and troubleshooting skills Strong communication and interpersonal skills Ability to work effectively both independently and in a team Attention to detail and a high level of accuracy Ability to multitask and prioritize workload",2023-10-20,,,,,,,,,True,,1,Professional Recruitment,Saudi Arabia,Riyadh,
"Education Strategic Accounts Lead, EMEA-PS","Would you like to be part of a team focused on increasing adoption of Amazon Web Services by developing Education accounts? Do you have the business savvy and the technical background necessary to help establish Amazon as a key technology platform provider?As an Education Account Manager covering UAE you will have the exciting opportunity to help drive the growth and shape the future of an emerging technology and increase adoption and market segment presence of the AWS Education business in the Middle East. The ideal candidate will possess both a sales / account management and technical background that enables them to drive an engagement at the executive level as well as with software developers and IT architects. You will be a self-starter who is prepared to develop and execute against a territory coverage plan and consistently deliver results. About the team Inclusive Team Culture Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and Amaze Con (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. Work/Life Balance Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives. Mentorship & Career Growth Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future. We are open to hiring candidates to work out of one of the following locations: Dubai, ARESubstantial technology related sales, business development BA/BS degree or equivalent experience required. Strong verbal and written communications skillsfluent in English Public Sector account management experience. A technical background in engineering, computer science, or MIS a plus. Cloud sales experience.",,2023-10-19,,,,,,,,,True,,1,Amazon Web Services EMEA Dubai FZ Branch - Q29,United Arab Emirates,Dubai,
Quality & Operations Executive (KSA-Riyadh),"Thanks for visiting our Career Page. Please review our open positions and apply to the positions that match your qualifications. Quality & Operations Executive (KSA-Riyadh)Riyadh, Saudi Arabia Full Time Quality Mid Level Justlife is rocking the region with its beautifully designed for all home services app and looking for brilliant minds and skilled professionals who can think outside the box and have a limit that defies the sky. Come onboard and dedicate yourself to becoming #everydaybetter!Take over a key role as a Quality and operations Executive in the Quality department, and be a part of this exciting adventure of never-ending growth and success. Join us and just shine with us let’s become #everydaybetter, together! What we expect from you: Supervising a team of service providers. Training service providers to professional standards. Creating and implementing on-demand service delivery processes. Ensuring compliance with Justlife standard operating procedures. Coordinating Quality of service delivery efforts between company and partners. Purchasing, procurement, and inventory management of materials and equipment. Coordinating with the finance department and headquarters to ensure accurate and timeous payment to suppliers and service providers. Monitoring of performance to maintain high operational and service standards. Proposing and leading initiatives and projects to drive performance improvement and operational excellence. Who we are looking for: Bachelor's degree from an accredited university. 1 to 3 years in a related role in quality and service. Experience in home service industry. Good knowledge of quality standards. Exceptional communication in English. Efficient organizational skills. Data-driven decision-making mentality. Sound business judgment through analytical thinking. Experience with on-demand service platforms. Experience in Google Suite to perform basic formula's. Able to manage multiple projects at the same time. PERKS OF BEING A PART of JUSTLIFENo benefit would replace the start-up spirit, working with a great team, and entrepreneurial working environment! However, we also have benefits like: We care about you Structured and predictable salary progression Flexible working hours and remote working depending on the job Just Holiday! One-day extra vacation on your birthday Team-building games, challenges, and activities! We improve you Working with a great team and entrepreneurial spirit! Continuous learning with mentorship, coaching, on-the-job, and internal-external training Fast career growth Internal career opportunities We recognize you ''Just Heroes'' Reward and Recognition Program Discounts and gifts vouchers Employee Referral Program Justlife (previously Justmop) is the Middle East’s leading marketplace for home cleanings, beauty & wellness, and other homes services such as maintenance and laundry. Justlife’s long-term vision is to become a super app for everything related to home services. Since our inception, we've slowly been expanding our services from home cleaning alone to serving all your needs at home. Justlife has built a network of thousands of trained professionals and served over 6 million sessions across UAE, KSA, Kuwait, Qatar, Oman, and Bahrain. Our Mission: We promise our customers stellar service, our suppliers a valuable partner, our professionals a better life, and our team members a work environment where they thrive towards their best versions.  Apply for this position Required** Apply with Indeed Apply with Indeed",,2023-10-19,,,,,,,,,True,,1,Justmop,Saudi Arabia,Riyadh,
Senior Quality Manager,"Description JASARA PMC, a joint venture between Public Investment Fund (PIF), Jacobs, and Saudi Aramco established to elevate the delivery of Social Infrastructure programs in Saudi Arabia, is currently seeking a Senior Quality Manager. As a Senior Quality Manager, you will be responsible for overseeing and monitoring the quality control activities of contractors working on this critical project. Responsibilities Develop and implement a comprehensive Quality Management Plan (QMP) for the project. Conduct regular inspections, walkthroughs and surveillances to ensure compliance with quality control standards of all civil work activities. Ensure effective resolution of non-conformance/non-compliance issues through proper documentation and corrective/preventive action. Participate in the development of contracts and scopes of work. Build and develop relationships with contractors, vendors, suppliers, and stakeholders to ensure quality requirements are being met. Provide technical assistance and guidance regarding quality control to personnel assigned to the program. Participate in audits and assessments of both internal and external quality systems. Requirements Bachelor's degree in civil engineering or related field 15+ years of experience in quality management within the construction industry Experience in managing large-scale civil engineering projects. Excellent communication skills and the ability to work collaboratively with internal and external stakeholders. Thorough understanding of quality control management systems, standards, and codes Ability to travel to various project locations within Saudi Arabia* Knowledge of industry-standard software and tools used in quality control management systems.",,2023-10-19,,,,,,,,,True,,1,Jasara Program Management Company,Saudi Arabia,Riyadh,
Flutter Developer,"Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience). Proven experience as a Flutter Developer with a minimum of 3 years of experience. Proficiency in the Dart programming language and the Flutter framework. Strong understanding of mobile app design principles, UI/UX best practices, and responsive design. Experience with RESTful API design and integration. Knowledge of mobile app testing and debugging techniques. Familiarity with version control systems (e.g., Git) and Dev Ops practices. Excellent problem-solving skills and attention to detail. Effective communication and teamwork skills. Experience native in android and IOSPortfolio of relevant mobile app projects and code samples","Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience). Proven experience as a Flutter Developer with a minimum of 3 years of experience. Proficiency in the Dart programming language and the Flutter framework. Strong understanding of mobile app design principles, UI/UX best practices, and responsive design. Experience with RESTful API design and integration. Knowledge of mobile app testing and debugging techniques. Familiarity with version control systems (e.g., Git) and Dev Ops practices. Excellent problem-solving skills and attention to detail. Effective communication and teamwork skills. Experience native in android and IOSPortfolio of relevant mobile app projects and code samples",2023-10-19,0,0,2,5,Experienced (Non-Manager),,,,True,,1,Horizon Agency,Egypt,Cairo,New Cairo
